epoch;loss;val_loss
0;0.3632178585237374;0.19882594663566164
1;0.20563153374714696;0.16519252718871338
2;0.1833279005789578;0.16134973763081414
3;0.17367597455755338;0.16126574357975135
4;0.17103858510513625;0.14373033447400205
5;0.16364708420857843;0.14317552096343636
6;0.16015446160592378;0.14109682470005702
7;0.15871283328725488;0.1417290591864803
8;0.15578543751358453;0.13960187586360134
9;0.1579570505843214;0.14609833474607328
10;0.15560259542724358;0.1398876374963769
11;0.15360355255613656;0.13643205865519867
12;0.15437914255984136;0.13619959990017838
13;0.15017107397594126;0.13299237322623794
14;0.15246751009529003;0.14030257852854372
15;0.15624115465274543;0.13843497505854765
16;0.15128386997391635;0.13893608289165632
17;0.14962256631672569;0.1352311801057813
18;0.14813053796935324;0.13322755134281553
19;0.14481325424619051;0.13075314821571474
20;0.14412721937892145;0.13079338925553102
21;0.14878740274996774;0.1306795567427024
22;0.1479306027382577;0.1306284499080461
23;0.14455720488357324;0.13026694667652833
24;0.14435273821910827;0.13940928355480633
25;0.14537838319367705;0.13285487462994072
26;0.14161873191098995;0.12788885625376772
27;0.1411608060655036;0.1271462365937126
28;0.14057274668125097;0.12748370044807963
29;0.14301116706740655;0.13482682870472754
30;0.14756194705973305;0.13128223132062525
31;0.1419477360975735;0.1271937399949685
32;0.14136511831209167;0.12727706449738369
33;0.1423090367533374;0.12825952148192812
34;0.14081932315456236;0.12592836477536282
35;0.1389926324861558;0.12662280347578184
36;0.13886720920974782;0.1275933619834736
37;0.13719517544689513;0.12592398288771461
38;0.1373408171738229;0.1270933943711618
39;0.1412488843921521;0.1282391944724524
40;0.1414568983057827;0.1258521860249154
41;0.13788900071474092;0.1303783899568609
42;0.13847675380865762;0.12491614091962175
43;0.13682624904578108;0.12490087652948134
44;0.13776329437218726;0.133059689771525
45;0.14719926721091037;0.13063228854848605
46;0.14117324697038056;0.12617496979817738
47;0.1370931117835404;0.1251765265057223
48;0.13634068538161223;0.12344362426637609
49;0.13601345563088577;0.12438903615174957
50;0.13528675870755602;0.12322588221930479
51;0.1345001181935923;0.12240523185922673
52;0.13402590643417506;0.12198957171938678
53;0.13373730837564707;0.12186922887107209
54;0.13358146897532527;0.1218140901301135
55;0.13339702575613144;0.12163953418109262
56;0.13330035549755326;0.12146635674719171
57;0.13352843194721087;0.12144738374573057
58;0.13336351628157894;0.12166836692439661
59;0.1524182597641275;0.128065028782836
60;0.14271686327234143;0.1289364322494283
61;0.1368971881171861;0.12252015900046034
62;0.1346917558438607;0.12276281342818386
63;0.13518946045122696;0.12312461409987815
64;0.13367927738888719;0.12151543126035914
65;0.13294782902535351;0.12147259731335545
66;0.13280960880863937;0.12092023319430348
67;0.13269604319326192;0.12113072210355322
68;0.1326535796633284;0.12126587040727149
69;0.13268930361584347;0.1209241583073575
70;0.13256857894716356;0.12090965509032346
71;0.13315507544435132;0.12093489461789306
72;0.14019435016302337;0.1314777018857201
73;0.14233073697376827;0.12293502360563235
74;0.13589982968872188;0.1224456263934289
75;0.134030778669895;0.12138730510256855
76;0.1332934550036999;0.12274299206414079
77;0.1330571622655277;0.12087161947015465
78;0.13248534804940273;0.12066941031131169
79;0.13240713803718607;0.1204815125947124
80;0.13230662703907908;0.12050480786006064
81;0.13227809188890047;0.12050455814374418
